,match_time_bm,away_player,home_player,odds_away_bm,odds_home_bm,spread_away_bm,spread_home_bm,away_decimal_odds_bm,home_decimal_odds_bm,match_time_bto,odds_away_bto,odds_home_bto,spread_away_bto,spread_home_bto,away_decimal_odds_bto,home_decimal_odds_bto,best_away,best_home,cum_prob,log_time
23,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:56:04.748478
24,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:56:04.748478
25,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:56:04.748478
26,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:56:28.136294
27,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:56:28.136294
28,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:56:28.136294
29,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:56:53.382574
30,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:56:53.382574
31,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:56:53.382574
32,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:57:15.057351
33,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:57:15.057351
34,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:57:15.057351
35,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:57:34.363955
36,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:57:34.363955
37,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:57:34.363955
38,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:57:59.693585
39,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:57:59.693585
40,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:57:59.693585
41,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:59:34.023216
42,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:59:34.023216
43,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:59:34.023216
44,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:00:18.808540
45,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:00:18.808540
46,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:00:18.808540
47,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:00:37.472085
48,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:00:37.472085
49,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:00:37.472085
50,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:02:02.281998
51,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:02:02.281998
52,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:02:02.281998
53,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:02:24.837687
54,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:02:24.837687
55,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:02:24.837687
56,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:02:46.344774
57,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:02:46.344774
58,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:02:46.344774
59,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:03:08.955510
60,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:03:08.955510
61,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:03:08.955510
62,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:03:46.280074
63,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:03:46.280074
64,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:03:46.280074
65,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:04:22.755116
66,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:04:22.755116
67,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:04:22.755116
68,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:04:41.098380
69,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:04:41.098380
70,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:04:41.098380
71,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:05:02.262373
72,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:05:02.262373
73,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:05:02.262373
74,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:05:21.822747
75,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:05:21.822747
76,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:05:21.822747
77,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:37:56.386568
78,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:37:56.386568
79,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:37:56.386568
80,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:38:23.302055
