,sport_x,league_x,sportsbook_x,startdate_x,awayteam,hometeam,description_x,islive_x,home_decimal_odds_x,away_decimal_odds_x,sport_y,league_y,sportsbook_y,startdate_y,description_y,islive_y,home_decimal_odds_y,away_decimal_odds_y,sport,league,sportsbook,startdate,description,islive,home_decimal_odds,away_decimal_odds,best_away,best_home,cum_prob,log_time,best_book_home,best_book_away
651523,Martial Arts,UFC,BetOnline,2021-06-18T22:00:01Z,gabriel almeida,andrew wiltse,Gabriel Almeida vs Andrew Wiltse,0,1.4545454545454546,2.8,,,,,,,,,,,,,,,,,2.8,1.4545454545454546,1.0446428571428572,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651524,Martial Arts,UFC,BetOnline,2021-06-18T22:00:01Z,oliver taza,mica galvao,Oliver Taza vs Mica Galvao,0,1.606060606060606,2.35,,,,,,,,,,,,,,,,,2.35,1.606060606060606,1.0481734243275793,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651525,Martial Arts,UFC,BetOnline,2021-06-18T22:00:01Z,phillip rowe,kody steele,Phillip Rowe vs Kody Steele,0,1.1666666666666667,5.25,,,,,,,,,,,,,,,,,5.25,1.1666666666666667,1.0476190476190474,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651526,Martial Arts,UFC,BetOnline,2021-06-18T22:00:01Z,danielle kelly,jessie crane,Danielle Kelly vs Jessie Crane,0,1.5714285714285714,2.45,,,,,,,,,,,,,,,,,2.45,1.5714285714285714,1.0445269016697587,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651527,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,herdeson batista,vener galiev,Herdeson Batista vs Vener Galiev,0,2.9,1.4166666666666667,,,,,,,,,,,,,,,,,1.4166666666666667,2.9,1.050709939148073,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651528,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,walter pereira jr,murad kalamov,Walter Pereira Jr vs Murad Kalamov,0,1.5,2.6,,,,,,,,,,,,,,,,,2.6,1.5,1.051282051282051,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651529,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,roman gudochkin,amirkhan guliev,Roman Gudochkin vs Amirkhan Guliev,0,1.1666666666666667,5.0,,,,,,,,,,,,,,,,,5.0,1.1666666666666667,1.0571428571428572,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651530,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,lenar suleymanov,alan gomes,Lenar Suleymanov vs Alan Gomes,0,2.0,1.7692307692307692,,,,,,,,,,,,,,,,,1.7692307692307692,2.0,1.065217391304348,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651531,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,nikita chistyakov,makharbek karginov,Nikita Chistyakov vs Makharbek Karginov,0,1.4878048780487805,2.65,,,,,,,,,,,,,,,,,2.65,1.4878048780487805,1.0494896381070213,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651532,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,abubakar mestoev,egor golubtsov,Abubakar Mestoev vs Egor Golubtsov,0,2.45,1.5714285714285714,,,,,,,,,,,,,,,,,1.5714285714285714,2.45,1.0445269016697587,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651533,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,mukhitdin kholov,akhmed musakaev,Mukhitdin Kholov vs Akhmed Musakaev,0,1.6896551724137931,2.15,,,,,,,,,,,,,,,,,2.15,1.6896551724137931,1.056953013763645,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651534,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,denis silva,pavel gordeev,Denis Silva vs Pavel Gordeev,0,1.5714285714285714,2.45,,,,,,,,,,,,,,,,,2.45,1.5714285714285714,1.0445269016697587,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651535,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,altynbek mamashev,vasily kurochkin,Altynbek Mamashev vs Vasily Kurochkin,0,1.8695652173913042,1.8695652173913042,,,,,,,,,,,,,,,,,1.8695652173913042,1.8695652173913042,1.0697674418604652,2021-06-11 05:30:15.983200,BetOnline,BetOnline
